Age,Time_of_survey,Schooling,Region,Count,target
4,1991,3,0,0.0,2
4,1991,4,0,0.0,2
4,1991,2,0,0.0,2
0,1992,1,1,0.0,1
0,1992,0,1,6.0,1
0,1992,3,1,4.0,1
0,1992,4,1,0.0,1
0,1992,2,1,7.0,1
0,1992,1,0,0.0,1
0,1992,0,0,0.0,1
0,1992,3,0,0.0,1
0,1992,4,0,0.0,1
0,1992,2,0,0.0,1
0,1992,1,1,2.0,0
0,1992,0,1,68.0,0
0,1992,3,1,101.0,0
0,1992,4,1,17.0,0
0,1992,2,1,100.0,0
0,1992,1,0,1.0,0
0,1992,0,0,8.0,0
0,1992,3,0,58.0,0
0,1992,4,0,1.0,0
0,1992,2,0,13.0,0
0,1992,1,1,3.0,3
0,1992,0,1,40.0,3
0,1992,3,1,48.0,3
0,1992,4,1,3.0,3
0,1992,2,1,29.0,3
0,1992,1,0,1.0,3
0,1992,0,0,8.0,3
0,1992,3,0,68.0,3
0,1992,4,0,2.0,3
0,1992,2,0,16.0,3
0,1992,1,1,0.0,2
0,1992,0,1,6.0,2
0,1992,3,1,8.0,2
0,1992,4,1,2.0,2
0,1992,2,1,1.0,2
0,1992,1,0,0.0,2
0,1992,0,0,1.0,2
0,1992,3,0,13.0,2
0,1992,4,0,0.0,2
0,1992,2,0,1.0,2
1,1992,1,1,0.0,1
1,1992,0,1,10.0,1
1,1992,3,1,7.0,1
1,1992,4,1,4.0,1
1,1992,2,1,8.0,1
1,1992,1,0,0.0,1
1,1992,0,0,0.0,1
1,1992,3,0,0.0,1
1,1992,4,0,0.0,1
1,1992,2,0,1.0,1
1,1992,1,1,4.0,0
1,1992,0,1,186.0,0
1,1992,3,1,100.0,0
1,1992,4,1,47.0,0
1,1992,2,1,99.0,0
1,1992,1,0,0.0,0
1,1992,0,0,28.0,0
1,1992,3,0,104.0,0
1,1992,4,0,5.0,0
1,1992,2,0,26.0,0
1,1992,1,1,6.0,3
1,1992,0,1,102.0,3
1,1992,3,1,67.0,3
1,1992,4,1,10.0,3
1,1992,2,1,25.0,3
1,1992,1,0,1.0,3
1,1992,0,0,22.0,3
1,1992,3,0,86.0,3
1,1992,4,0,3.0,3
1,1992,2,0,38.0,3
1,1992,1,1,1.0,2
1,1992,0,1,14.0,2
1,1992,3,1,5.0,2
1,1992,4,1,0.0,2
1,1992,2,1,3.0,2
1,1992,1,0,1.0,2
1,1992,0,0,2.0,2
1,1992,3,0,13.0,2
1,1992,4,0,3.0,2
1,1992,2,0,3.0,2
2,1992,1,1,1.0,1
2,1992,0,1,19.0,1
2,1992,3,1,11.0,1
2,1992,4,1,2.0,1
2,1992,2,1,9.0,1
2,1992,1,0,1.0,1
2,1992,0,0,2.0,1
2,1992,3,0,0.0,1
2,1992,4,0,1.0,1
2,1992,2,0,0.0,1
2,1992,1,1,2.0,0
2,1992,0,1,182.0,0
2,1992,3,1,76.0,0
2,1992,4,1,17.0,0
2,1992,2,1,42.0,0
2,1992,1,0,2.0,0
2,1992,0,0,89.0,0
2,1992,3,0,25.0,0
2,1992,4,0,14.0,0
2,1992,2,0,30.0,0
2,1992,1,1,6.0,3
2,1992,0,1,102.0,3
2,1992,3,1,24.0,3
2,1992,4,1,6.0,3
2,1992,2,1,13.0,3
2,1992,1,0,3.0,3
2,1992,0,0,74.0,3
2,1992,3,0,27.0,3
2,1992,4,0,14.0,3
2,1992,2,0,7.0,3
2,1992,1,1,0.0,2
2,1992,0,1,11.0,2
2,1992,3,1,3.0,2
2,1992,4,1,1.0,2
2,1992,2,1,1.0,2
2,1992,1,0,3.0,2
2,1992,0,0,13.0,2
2,1992,3,0,3.0,2
2,1992,4,0,2.0,2
2,1992,2,0,1.0,2
3,1992,1,1,1.0,1
3,1992,0,1,11.0,1
3,1992,3,1,7.0,1
3,1992,4,1,0.0,1
3,1992,2,1,4.0,1
3,1992,1,0,0.0,1
3,1992,0,0,0.0,1
3,1992,3,0,0.0,1
3,1992,4,0,1.0,1
3,1992,2,0,0.0,1
3,1992,1,1,4.0,0
3,1992,0,1,177.0,0
3,1992,3,1,57.0,0
3,1992,4,1,9.0,0
3,1992,2,1,26.0,0
3,1992,1,0,1.0,0
3,1992,0,0,62.0,0
3,1992,3,0,16.0,0
3,1992,4,0,3.0,0
3,1992,2,0,7.0,0
3,1992,1,1,5.0,3
3,1992,0,1,82.0,3
3,1992,3,1,10.0,3
3,1992,4,1,1.0,3
3,1992,2,1,6.0,3
3,1992,1,0,2.0,3
3,1992,0,0,46.0,3
3,1992,3,0,9.0,3
3,1992,4,0,5.0,3
3,1992,2,0,6.0,3
3,1992,1,1,0.0,2
3,1992,0,1,21.0,2
3,1992,3,1,5.0,2
3,1992,4,1,0.0,2
3,1992,2,1,3.0,2
3,1992,1,0,1.0,2
3,1992,0,0,5.0,2
3,1992,3,0,1.0,2
3,1992,4,0,0.0,2
3,1992,2,0,2.0,2
4,1992,1,1,0.0,1
4,1992,0,1,12.0,1
4,1992,3,1,2.0,1
4,1992,4,1,0.0,1
4,1992,2,1,1.0,1
4,1992,1,0,0.0,1
4,1992,0,0,3.0,1
4,1992,3,0,0.0,1
4,1992,4,0,0.0,1
4,1992,2,0,0.0,1
4,1992,1,1,3.0,0
4,1992,0,1,51.0,0
4,1992,3,1,16.0,0
4,1992,4,1,1.0,0
4,1992,2,1,6.0,0
4,1992,1,0,0.0,0
4,1992,0,0,18.0,0
4,1992,3,0,4.0,0
4,1992,4,0,1.0,0
4,1992,2,0,0.0,0
4,1992,1,1,1.0,3
4,1992,0,1,22.0,3
4,1992,3,1,6.0,3
4,1992,4,1,1.0,3
4,1992,2,1,4.0,3
4,1992,1,0,0.0,3
4,1992,0,0,14.0,3
4,1992,3,0,1.0,3
4,1992,4,0,1.0,3
4,1992,2,0,0.0,3
4,1992,1,1,0.0,2
4,1992,0,1,7.0,2
4,1992,3,1,1.0,2
4,1992,4,1,0.0,2
4,1992,2,1,0.0,2
4,1992,1,0,0.0,2
4,1992,0,0,0.0,2
4,1992,3,0,0.0,2
4,1992,4,0,0.0,2
4,1992,2,0,0.0,2
